A04_Mad502	Madagascar
B04_Reu3461	Reunion
A01_Ald3	Aldabra
G01_Ald9	Aldabra
A07_Ari1	Seychelles
G02_Csne2	Seychelles
H09_Csn1	Seychelles
G10_GGL2	Grande_Glorieuse
C09_EUR51	Europa
F06_JDN39	Juan_de_Nova
B02_Sil4	Seychelles
C05_Dig2	Seychelles
H05_GRA5	Grande_Comore
E04_Mau270	Mauritius
F01_Moh1	Moheli
A02_Reu3926	Reunion
G07_Mau3572	Mauritius
H06_Mau3721	Mauritius
D09_Reu2041	Reunion
B08_Mau256	Mauritius
A09_Mau3863	Mauritius
B03_Mau3189	Mauritius
D02_Mau3001	Mauritius
H08_Mau3333	Mauritius
H07_Mau3099	Mauritius
C02_Mau3202	Mauritius
C08_Mau3856	Mauritius
C10_Reu2580	Reunion
G08_Mau3628	Mauritius
E10_Reu3072	Reunion
E06_Mau3680	Mauritius
B06_Mau3284	Mauritius
D04_Reu4006	Reunion
C04_Reu3837	Reunion
C06_Reu2000	Reunion
E09_Reu268	Reunion
A11_Rod56	Rodrigues
H10_Rod124	Rodrigues
D01_Reu5116	Reunion
B10_Reu2320	Reunion
E07_Mau3707	Mauritius
H01_Reu3824	Reunion
F09_Mau3649	Mauritius
F10_Rod164	Rodrigues
D07_Rod286	Rodrigues
B01_Dig5	Seychelles
D06_Pra6	Seychelles
B11_Mah1	Seychelles
F08_Dig6	Seychelles
B05_Anj4	Anjouan
G05_Anj3	Anjouan
G03_GRA10	Grande_Comore
G09_Mau3357	Mauritius
F07_Mau3606	Mauritius
H03_Rod257	Rodrigues
Reu_mur	Reunion
Reu_punc	Reunion
A06_Mau3268	Mauritius
